,index,feature,infogain_50,reliefF_50,jmi_50,mrmr_50,chisquare_50,TOTAL
0,1,Ever addicted to any substance or behaviour_1,95,0,100,100,100,395
1,7,Townsend deprivation index at recruitment,100,0,100,100,74,374
2,221,rs139459337_2.rs10838524_2,28,100,6,100,73,307
3,37,rs228697_2.rs10462023_2,20,100,4,100,77,301
4,2,Age at recruitment,96,0,100,0,100,296
5,68,rs228697_2.rs10838524_2,15,100,8,98,75,296
6,229,rs139459337_2.rs2287161_2,18,100,1,100,60,279
7,174,rs1801260_0.rs139459337_2,27,100,3,100,47,277
8,0,sex_1,76,0,100,0,100,276
9,75,rs228697_2.rs2287161_0,12,100,2,100,59,273
10,112,rs10462020_2.rs10838524_0,19,100,0,100,46,265
11,231,rs139459337_2.rs2287161_1,19,100,0,100,42,261
12,101,rs10462020_2.rs17031614_1,8,100,0,100,50,258
13,129,rs10462023_2.rs1801260_2,19,100,0,100,37,256
14,145,rs10462023_1.rs139459337_2,15,100,1,100,36,252
15,113,rs10462020_2.rs10838524_2,16,100,0,100,34,250
16,197,rs17031614_0.rs139459337_2,16,100,1,96,36,249
17,93,rs10462020_2.rs1801260_1,14,100,0,100,35,249
18,223,rs139459337_2.rs10838524_1,18,100,0,100,29,247
19,92,rs10462020_1.rs1801260_2,11,100,0,100,35,246
20,53,rs228697_2.rs17031614_2,16,100,0,100,30,246
21,55,rs228697_2.rs17031614_1,23,100,0,100,22,245
22,76,rs228697_2.rs2287161_2,21,100,0,96,27,244
23,61,rs228697_1.rs139459337_2,15,100,0,100,28,243
24,59,rs228697_0.rs139459337_2,16,100,0,100,24,240




55,25,rs2287161_1,73,0,100,0,8,181
58,22,rs139459337_2,15,100,1,0,45,161
59,23,rs10838524_1,59,0,100,0,1,160
60,15,rs10462023_1,59,0,100,0,1,160
66,11,rs228697_1,30,0,100,0,12,142
69,26,rs2287161_2,27,0,100,0,13,140
72,17,rs1801260_1,37,0,100,0,1,138
75,24,rs10838524_2,35,0,100,0,2,137

